rank,score,survived_all,kp_length,kd_length,kp_angle,kd_angle,mean_vx_mae_mps,mean_yaw_mae_radps,mean_height_mae_m,mean_length_tracking_rmse_m,mean_angle_tracking_rmse_rad,mean_tilt_p90_deg,max_tilt_deg,mean_leg_saturation_fraction,max_closure_residual_m
92,3.0268014743116067,True,750.0,20.0,50.0,3.0,0.2009470526137967,0.04175957628830644,0.013007399216122834,0.01580601356996944,0.0484752375173209,0.8645324622935031,2.2139478243585504,0.0,0.00045714518809025024
93,3.0378824324608336,True,900.0,80.0,35.0,2.0,0.23306905505398107,0.04478146053159533,0.013643969398121614,0.012934734478443004,0.06546650768553705,0.641901179748896,1.6495468386261898,0.0,0.0004626498931020928
94,3.0448267568526632,True,900.0,10.0,50.0,8.0,0.20079748282761203,0.04304667824865989,0.013905926659603735,0.014615322098486304,0.05756068902450709,0.8853330292206295,2.3903751015363244,0.0,0.00048663114650649065
95,3.052427302005811,True,600.0,40.0,80.0,10.0,0.17054234794723774,0.038905835957967524,0.011022517051197746,0.018671771811893157,0.04155809431948676,1.1065061335653397,2.13410595469552,6.9367369589345175e-06,0.0004406736043048761
96,3.05517198939803,True,600.0,40.0,65.0,3.0,0.18257829789048274,0.0391779414774651,0.011174295682597386,0.018587791966005053,0.037814658754372246,1.1021990883435997,2.7054089635355076,0.0,0.00043814250167547263
97,3.0556234168245804,True,750.0,20.0,50.0,5.0,0.2009747330403837,0.042206879164607164,0.012982544380680024,0.015831750445601284,0.05220520990645659,0.8047508206670233,1.8063078437660935,0.0,0.0004578184867487542
98,3.0731285505687413,True,900.0,40.0,35.0,2.0,0.2333296175471456,0.045187966176405345,0.01372500669418494,0.013278327165953719,0.06558708331444513,0.6451126475452618,1.8153184721605722,0.0,0.0004700297383255749
99,3.0791527025581247,True,600.0,40.0,65.0,5.0,0.18285372071877112,0.03965318089511822,0.01115443118876609,0.018592681809827427,0.04114448094266816,1.0331778955472217,2.2997422380191943,0.0,0.00043774579956926536
100,3.107690926850096,True,750.0,20.0,50.0,8.0,0.20154675321192744,0.042880599363777444,0.01292649200034098,0.015882432252061436,0.05722037086900022,0.8577072526874137,2.3754498141271436,0.0,0.0004586927381565814
101,3.122204265244788,True,600.0,40.0,65.0,8.0,0.18312827769783369,0.04036475437309309,0.011114730847104945,0.018619955109945973,0.04591248101292228,1.0269031833822893,1.9928202608202816,0.0,0.0004375200395251362
102,3.123447301773524,True,600.0,15.0,80.0,6.0,0.17185944741354248,0.03816752526541525,0.011419335318982548,0.019621157913657847,0.03618964387936642,1.3401070362030407,3.214315726221461,6.9367369589345175e-06,0.0004411153647838284
103,3.1385988860003327,True,900.0,20.0,35.0,2.0,0.2337572672017032,0.045521121826040976,0.013966027497109769,0.01388000936024618,0.06575712479688751,0.6683918449277644,2.0994634014286526,0.0,0.0004750117652430451
104,3.1712607152045176,True,600.0,15.0,80.0,10.0,0.17175817425141557,0.039043507080348844,0.0114020649639736,0.019627551020314635,0.04205992812210223,1.2971691869530377,2.647305401563863,6.9367369589345175e-06,0.00044096718151273915
105,3.1812005463088036,True,600.0,40.0,50.0,1.5,0.2021095763317032,0.04156364435947397,0.011324155487168917,0.01852012973705553,0.04594558100637184,1.0321071212773552,2.8260073331852005,0.0,0.0004337308231590762
106,3.18391678844162,True,600.0,15.0,65.0,3.0,0.18488251781244547,0.039188287138014054,0.01151185528077482,0.019603309779679553,0.03799249396814822,1.3723910823716028,3.681611509252983,0.0,0.00043841034170056365
107,3.189351696613028,True,750.0,50.0,35.0,2.0,0.23451165801581447,0.04525044644731587,0.012893309216482275,0.015032899500591215,0.0655237825050739,0.6477366230542597,1.790678654868197,0.0,0.00044803925742836705
108,3.1930635685048143,True,600.0,40.0,50.0,3.0,0.20248180767501495,0.041856943835714505,0.011306666475622383,0.018511535221360592,0.04818584732756507,0.9429318002128366,2.2934949696189264,0.0,0.00043348784315867074
109,3.2022677314122063,True,600.0,15.0,65.0,5.0,0.18462239612600284,0.039688367136014244,0.011503077212124702,0.01958162523949751,0.041447060337778625,1.26195903209058,3.2368300635827367,0.0,0.0004381868182433736
110,3.2050179311530544,True,900.0,10.0,35.0,2.0,0.23420666509170024,0.04585095965051961,0.014159409179559226,0.01449163011332806,0.06594565400396682,0.7135220647586847,2.3124753455944727,0.0,0.0004786344629515112
111,3.222345207287025,True,600.0,40.0,50.0,5.0,0.20265910864272416,0.0423987989271867,0.011274888299942845,0.018526085346035955,0.051852561951012635,0.9005903089250825,1.8937454490307382,0.0,0.0004334875422539417
112,3.2404539312719414,True,600.0,15.0,65.0,8.0,0.18433807735272922,0.040437565110871584,0.011480162807787297,0.019580940056707245,0.04636284410771864,1.2200793035178505,2.6669260116527016,0.0,0.00043826691736854016
113,3.270488154617962,True,750.0,20.0,35.0,2.0,0.23519440343944745,0.04568123050542003,0.013212529982241945,0.01577066693726151,0.06572762839471995,0.6693563490651862,2.0318167409620354,0.0,0.00045231578332502665
114,3.271351721456182,True,600.0,40.0,50.0,8.0,0.20306995983758455,0.04320171681128642,0.011217562730933425,0.018566229239875005,0.05681086307557319,0.9340077037394633,2.3505222964541654,0.0,0.0004337083580791745
115,3.3119846888280797,True,600.0,15.0,50.0,1.5,0.20467007888062358,0.04151735233331642,0.01164874231365852,0.019537390592817415,0.04610466323981249,1.3266090979138758,3.7385183212363002,0.0,0.0004347214115652386
116,3.318246993729007,True,600.0,15.0,50.0,3.0,0.2044105675452526,0.041798123500318946,0.011649736722481686,0.019519286344090368,0.04840922321016339,1.1865943770001701,3.4172568696241035,0.0,0.00043483330407845407
117,3.341222803970025,True,600.0,15.0,50.0,5.0,0.20404285785516302,0.0423722009410607,0.011624679758173207,0.01950347313795684,0.0521919203709637,1.1015190245587896,2.873478076251969,0.0,0.00043470608061142463
118,3.387635136661359,True,600.0,15.0,50.0,8.0,0.2039778876556241,0.04312347379351584,0.011591622016811964,0.019527774165953728,0.057268615099574205,1.1145408674505295,2.386961891112437,0.0,0.00043509083735864055
119,3.430879318433271,True,600.0,40.0,35.0,2.0,0.2368054169354108,0.046435892307747195,0.011550335645627099,0.01837219943091051,0.065455387998684,0.732173921852497,1.9199348244746965,0.0,0.00042786664319101775
120,3.5462724323312225,True,600.0,15.0,35.0,2.0,0.23860901959470343,0.046336053576697726,0.011898211346248216,0.019326351227616386,0.0656852224436989,0.9149314549029384,2.5947915161065764,0.0,0.00042953761880002545
